  1. [warner=y]: 31 ==> [time=y]: 31   <conf:(1)> lift:(12.15) lev:(0.06) conv:(28.45)
  2. [museum=y]: 25 ==> [night=y]: 25   <conf:(1)> lift:(14.23) lev:(0.05) conv:(23.24)
  3. [last=y]: 9 ==> [night=y]: 9   <conf:(1)> lift:(14.23) lev:(0.02) conv:(8.37)
  4. [site=y]: 4 ==> [new=y]: 4   <conf:(1)> lift:(14.23) lev:(0.01) conv:(3.72)
  5. [post=y]: 4 ==> [new=y]: 4   <conf:(1)> lift:(14.23) lev:(0.01) conv:(3.72)
  6. [buy=y]: 3 ==> [gm=y]: 3   <conf:(1)> lift:(22.64) lev:(0.01) conv:(2.87)
  7. [kobe=y]: 4 ==> [lebron=y]: 4   <conf:(1)> lift:(24.9) lev:(0.01) conv:(3.84)
  8. [nba=y]: 3 ==> [lebron=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
  9. [kindle=y]: 3 ==> [kindle2=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 10. [dx=y]: 3 ==> [kindle2=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 11. [io=y]: 3 ==> [google=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 12. [android=y]: 3 ==> [google=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 13. [check=y]: 3 ==> [out=y]: 3   <conf:(1)> lift:(26.21) lev:(0.01) conv:(2.89)
 14. [lets=y]: 3 ==> [go=y]: 3   <conf:(1)> lift:(27.67) lev:(0.01) conv:(2.89)
 15. [kirstiealley=y]: 3 ==> [dentist=y]: 3   <conf:(1)> lift:(35.57) lev:(0.01) conv:(2.92)
 16. [barack=y]: 3 ==> [obama=y]: 3   <conf:(1)> lift:(41.5) lev:(0.01) conv:(2.93)
 17. [gladwell=y]: 10 ==> [malcolm=y]: 10   <conf:(1)> lift:(45.27) lev:(0.02) conv:(9.78)
 18. [san=y]: 9 ==> [francisco=y]: 9   <conf:(1)> lift:(55.33) lev:(0.02) conv:(8.84)
 19. [francisco=y]: 9 ==> [san=y]: 9   <conf:(1)> lift:(55.33) lev:(0.02) conv:(8.84)
 20. [breakers=y]: 3 ==> [san=y]: 3   <conf:(1)> lift:(55.33) lev:(0.01) conv:(2.95)
 21. [breakers=y]: 3 ==> [francisco=y]: 3   <conf:(1)> lift:(55.33) lev:(0.01) conv:(2.95)
 22. [buffet=y]: 7 ==> [warren=y]: 7   <conf:(1)> lift:(62.25) lev:(0.01) conv:(6.89)
